hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,squawk,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
152002,RA-73730,RU,54.359001,78.46727,11887,114,859,0.3,2767,1518,AFL1518,SU1518,UUEE,SVO,UNBG,RGK,AFL,SU,A20N,1687168550,en-route
152005,RA-73733,RU,58.400208,66.436188,10965,284,775,-0.3,5213,1463,AFL1463,SU1463,UNNT,OVB,UUEE,SVO,AFL,SU,A20N,1687168540,en-route
152015,RA-73749,RU,57.635071,39.478748,10104,246,803,0,5553,1201,AFL1201,SU1201,USPP,PEE,UUEE,SVO,AFL,SU,A320,1687168558,en-route
152024,RA-73764,RU,51.803604,48.102303,10972,296,835,0,1063,1679,AFL1679,SU1679,URWA,ASF,UUEE,SVO,AFL,SU,A320,1687168558,en-route
152030,RA-73776,RU,46.62085,51.685047,11277,8,838,0,2416,2932,AFL2932,SU2932,URSS,AER,UWUU,UFA,AFL,SU,A320,1687168509,en-route
152038,RA-73784,RU,36.895523,31.405121,11277,272,800,0,5321,422,AFL422,SU422,UUEE,SVO,HEGN,HRG,AFL,SU,A333,1687168556,en-route
152060,RA-73824,RU,53.697968,59.079605,11277,19,850,0,2446,619,SVR619,U6619,URSS,AER,USCC,CEK,SVR,U6,A320,1687168555,en-route
152066,RA-73830,RU,40.463299,66.2435,11277,144,944,-0.3,4161,2915,SVR2915,U62915,UWUU,UFA,UTDD,DYU,SVR,U6,A320,1687168557,en-route
152069,RA-73833,RU,47.589478,45.882614,10988,154,848,0,2110,377,SVR377,U6377,UUDD,DME,URSS,AER,SVR,U6,A320,1687168442,en-route
152072,RA-73842,RU,42.254974,64.44886,10668,142,929,0,1504,2427,SVR2427,U62427,UUBW,ZIA,UTDD,DYU,SVR,U6,A321,1687168556,en-route
152073,RA-73843,RU,50.439899,55.367985,11269,24,896,0,6150,306,SVR306,U6306,URSS,AER,USSS,SVX,SVR,U6,A321,1687168487,en-route
300224,I-GURU,IT,45.068619,9.91575,5486,138,638,-0.3,1000,1193,VND1193,,LIML,LIN,LIPE,BLQ,VND,,LJ40,1687168558,en-route
300393,I-ADJK,IT,45.823368,9.571838,7025,236,757,-8.5,1000,5HF,DLH5HF,LH1854,EDDM,MUC,LIMC,MXP,DLA,LH,E195,1687168557,en-route
300394,I-ADJL,IT,50.036022,8.124612,3352,69,714,1,1000,1XT,DLA1XT,EN8751,ELLX,LUX,EDDF,FRA,DLA,EN,E195,1687168557,en-route
300557,I-ADJQ,IT,50.044281,8.59382,0,70,35,0,2000,27P,DLA27P,EN8061,LOWG,GRZ,EDDF,FRA,DLA,EN,E195,1687168557,en-route
300582,I-CFAG,IT,38.00008,15.642441,152,347,129,0.3,2000,,,,LICR,REG,,,,,S64,1687168556,en-route
